id|name
1519154|Bus 421: Hönigtal Gasthaus Großschedl => Graz Lustbühel
1528498|Bus 120: Graz Lendplatz => Stiwoll Riemer
1540547|Bus 650: Gleinstätten Gasthaus Semlitsch => Graz Andreas-Hofer-Platz/Joanneumsviertel
1547985|Bus 760: Stainz in der Weststeiermark Hauptplatz => Graz Griesplatz
1552958|Bus 711: Hitzendorf Schulen => Graz Lendplatz
1573542|Bus 703: Krottendorf Ort => Ligist Hauptplatz
1573563|Bus 703: Ligist Hochstraße => Krottendorf Ort
1573719|Bus 707: Teigitschgraben => Köflach
1582845|Bus 742: Lannach => Schadendorf
1653170|Bus 363: Gleisdorf -> Großpesendorf
1653192|Bus 202: Gleisdorf Bahnhof => Weiz Kapruner-Generator-Straße
1658723|Bus 831: Graz Andreas-Hofer-Platz/Joanneumsviertel => Trofaiach Mitte
1666455|Bus 400: Bairisch Kölldorf Gasthaus Legenstein => Graz Hauptbahnhof
1674964|Bus 431: Graz Jakominiplatz => Nestelbach bei Graz Parkplatz
1688573|Bus 463: Fürstenfeld -> Glesidorf
1697512|Bus 521: Graz Jakominiplatz => Siebing bei Wildon Gasthaus Fruhmann
1726641|Nachtbus: Graz -> Frohnleiten
1766039|Bus 635: Kalsdorf bei Graz Bahnhof => Werndorf Terminal Ost
1771440|Bus 650: Gleinstätten Ort => Graz Andreas-Hofer-Platz/Joanneumsviertel
1823587|Bus 250: St. Radegund Seilbahn Talstation => Graz Opernring
1989229|Bus 52: Hauptbahnhof => Ziegelstraße
2023394|Bus 100: Graz Andreas-Hofer-Platz/Joanneumsviertel => Bruck an der Mur Koloman-Wallisch-Platz (via Mixnitz-Bärenschützklamm Bahnhof)
2027889|Bus 100: Bruck an der Mur Koloman-Wallisch-Platz => Graz Don Bosco Bahnhof
2027892|Bus 100: Graz Andreas-Hofer-Platz/Joanneumsviertel => Bruck an der Mur Koloman-Wallisch-Platz
2032059|Bus 110: Gratwein-Gratkorn Bahnhof => Graz Hauptbahnhof (via Graz Ortweingasse)
2044759|Bus 110: Graz Lendplatz => Gratwein Hauptplatz
2044762|Bus 110: Graz Lendplatz => Rein Gemeinde
2069460|Bus 120: Gratwein-Gratkorn Bahnhof => Graz Lendplatz (via Judendorf-Straßengel Murhofstraße)
2069466|Bus 120: Stiwoll Riemer => Graz Hauptbahnhof
2081248|Bus 130: Graz Lendplatz => Sankt Pankrazen Ort
2116297|Bus 140: Friesach bei Peggau Abzweigung Semriach => Semriach Seniorenheim Sonnenhof
2116299|Bus 140: Graz Andreas-Hofer-Platz/Joanneumsviertel => Semriach Seniorenheim Sonnenhof
2116301|Bus 140: Graz Don Bosco Bahnhof => Semriach Seniorenheim Sonnenhof
2116303|Bus 140: Semriach Hauptplatz => Graz Don Bosco Bahnhof
2116305|Bus 140: Semriach Seniorenheim Sonnenhof => Graz Andreas-Hofer-Platz/Joanneumsviertel
2123707|Bus 160: Graz Lendplatz => Passail Hauptplatz
2165466|Bus 200: Graz Andreas-Hofer-Platz/Joanneumsviertel => Birkfeld Busbahnhof
2165540|Bus 201: Graz Andreas-Hofer-Platz/Joanneumsviertel => Birkfeld Busbahnhof
2167374|Bus 221: Graz Andreas-Hofer-Platz/Joanneumsviertel => Weiz Kapruner-Generator-Straße
2187506|Bus 200: Ratten Postamt => Graz Andreas-Hofer-Platz/Joanneumsviertel
2187510|Bus 200: Weiz Kapruner-Generator-Straße => Graz Andreas-Hofer-Platz/Joanneumsviertel (not via Weiz Bahnhof)
2187512|Bus 200: Weiz Kapruner-Generator-Straße => Graz Andreas-Hofer-Platz/Joanneumsviertel
2187520|Bus 201: Weiz Kapruner-Generator-Straße => Graz Andreas-Hofer-Platz/Joanneumsviertel
2199255|Bus 220: Graz Andreas-Hofer-Platz/Joanneumsviertel => Kumberg Kumbergbrücke
2199257|Bus 220: Graz Hauptbahnhof => Weiz Bundesschulzentrum
2199259|Bus 220: Graz Jakominiplatz => Weiz Kapruner-Generator-Straße
2199262|Bus 220: Kumberg Kumbergbrücke => Weiz Kapruner-Generator-Straße
2199264|Bus 220: Kumberg Ort => Weiz Kapruner-Generator-Straße
2199266|Bus 220: Pircha Gstauda => Faßlberg Ort
2199268|Bus 220: Weiz Kapruner-Generator-Straße => Graz Hauptbahnhof
2199273|Bus 220: Weiz Kapruner-Generator-Straße => Kumberg Kumbergbrücke
2199275|Bus 221: Graz Andreas-Hofer-Platz/Joanneumsviertel => Weiz Kapruner-Generator-Straße (via Pircha Ort)
2199277|Bus 221: Kumberg Kumbergbrücke => Weiz Kapruner-Generator-Straße
2199280|Bus 221: Weiz Kapruner-Generator-Straße => Graz Andreas-Hofer-Platz/Joanneumsviertel
2199282|Bus 221: Weiz Kapruner-Generator-Straße => Graz Andreas-Hofer-Platz/Joanneumsviertel (via Pircha Ort)
2199285|Bus X20: Graz Andreas-Hofer-Platz/Joanneumsviertel => Weiz Kapruner-Generator-Straße
2202435|Bus 241: Faßlberg Ort => Weinitzen Gasthaus Bachwirt
2202437|Bus 241: Graz Andreas-Hofer-Platz/Joanneumsviertel => Faßlberg Pölzenkapelle
2202439|Bus 241: Graz Andreas-Hofer-Platz/Joanneumsviertel => Kreuzberg Gasthaus Lampersberger (via Graz Carnerigasse)
2202442|Bus 241: Graz Dürrgrabenweg => Rinnegg Gasthaus Paar
2202446|Bus 241: Rinnegg Gasthaus Paar => Graz Andreas-Hofer-Platz/Joanneumsviertel
2202448|Bus 241: Rinnegg Gasthaus Paar => Graz Dürrgrabenweg
2220592|Bus 362: Hönigtal Abweigung Laßnitzhöhe => Stifting
2237549|Bus 250: Faßlberg Ort => Faßlberg Pölzenkapelle
2237551|Bus 250: Faßlberg Pölzenkapelle => Faßlberg Ort
2237553|Bus 250: Graz Andreas-Hofer-Platz/Joanneumsviertel => St. Radegund Postamt
2237555|Bus 250: Graz Andreas-Hofer-Platz/Joanneumsviertel => Stenzengreith Kreuzwirt (via Schöckl Gasthaus Schöcklbartl)
2237557|Bus 250: Graz Jakominiplatz => St. Radegund Postamt
2237559|Bus 250: Graz Jakominiplatz => Stenzengreith Kreuzwirt
2237562|Bus 250: Plenzengreith Gasthaus Windisch => Graz Andreas-Hofer-Platz/Joanneumsviertel
2237565|Bus 250: St. Radegund Postamt => Graz Opernring
2237567|Bus 250: Stenzengreith Kreuzwirt => Graz Andreas-Hofer-Platz/Joanneumsviertel (not via St. Radegund Seilbahn Talstation)
2237569|Bus 250: Stenzengreith Kreuzwirt => Graz Opernring (not via St. Radegung Seilbahn Taltstaion)
